Factor,Attribute,Data Type
Personal_Info,First_Name,object
Personal_Info,EMail,object
Personal_Info,Age,int64
Personal_Info,Gender,object
Personal_Info,Location_Preferences,object
Personal_Info,Coordinate,object
Personal_Info,Country,object
Personal_Info,City,object
Personal_Info,Languages_Preferred,object
Personal_Info,Last_Seen,object
Personal_Info,Response_Time,object
Skill_Exchange,Programming_and_Software_Development_off,object
Skill_Exchange,Project_Management_off,object
Skill_Exchange,Accounting_and_Finance_off,object
Skill_Exchange,Marketing_and_Advertising_off,object
Skill_Exchange,Sales_and_Customer_Service_off,object
Skill_Exchange,Human_Resources_and_Leadership_off,object
Skill_Exchange,Graphic_Design_and_Illustration_off,object
Skill_Exchange,Photography_and_Photo_Editing_off,object
Skill_Exchange,Music_instruments_Composition_and_Production_off,object
Skill_Exchange,Writing_and_Editing_off,object
Skill_Exchange,Arts_and_Crafts_and_DIY_Projects_off,object
Skill_Exchange,Learning_Foreign_Languages_off,object
Skill_Exchange,Written_and_Oral_Communication_in_Various_Languages_off,object
Skill_Exchange,Interpretation_and_Translation_off,object
Skill_Exchange,Computer_and_Software_Application_Operation_off,object
Skill_Exchange,Network_Administration_and_IT_Support_off,object
Skill_Exchange,Electronics_and_Robotics_off,object
Skill_Exchange,Web_Design_and_Development_off,object
Skill_Exchange,Data_Analysis_and_Visualization_off,object
Skill_Exchange,Interpersonal_Communication_off,object
Skill_Exchange,Conflict_Resolution_and_Mediation_off,object
Skill_Exchange,Empathy_and_Emotional_Intelligence_off,object
Skill_Exchange,Leadership_Skills_and_Teamwork_off,object
Skill_Exchange,Networking_and_Relationship_Management_off,object
Skill_Exchange,Cooking_and_Baking_off,object
Skill_Exchange,Gardening_and_Farming_off,object
Skill_Exchange,DIY_and_Repairs_off,object
Skill_Exchange,Driving_and_Vehicle_Maintenance_off,object
Skill_Exchange,First_Aid_and_Life_Saving_Techniques_off,object
Skill_Exchange,Mathematics_and_Sciences_off,object
Skill_Exchange,History_and_Social_Sciences_off,object
Skill_Exchange,Literature_and_Philosophy_off,object
Skill_Exchange,Research_Methods_and_Academic_Writing_off,object
Skill_Exchange,Academic_Reading_and_Critique_off,object
Skill_Exchange,Time_Management_and_Organization_off,object
Skill_Exchange,Stress_Management_and_Mindfulness_off,object
Skill_Exchange,Financial_Planning_and_Budgeting_off,object
Skill_Exchange,Self_Defense_and_Personal_Safety_off,object
Skill_Exchange,Healthcare_and_Nutrition_off,object
Skill_Exchange,Programming_and_Software_Development_dem,object
Skill_Exchange,Project_Management_dem,object
Skill_Exchange,Accounting_and_Finance_dem,object
Skill_Exchange,Marketing_and_Advertising_dem,object
Skill_Exchange,Sales_and_Customer_Service_dem,object
Skill_Exchange,Human_Resources_and_Leadership_dem,object
Skill_Exchange,Graphic_Design_and_Illustration_dem,object
Skill_Exchange,Photography_and_Photo_Editing_dem,object
Skill_Exchange,Music_instruments_Composition_and_Production_dem,object
Skill_Exchange,Writing_and_Editing_dem,object
Skill_Exchange,Arts_and_Crafts_and_DIY_Projects_dem,object
Skill_Exchange,Learning_Foreign_Languages_dem,object
Skill_Exchange,Written_and_Oral_Communication_in_Various_Languages_dem,object
Skill_Exchange,Interpretation_and_Translation_dem,object
Skill_Exchange,Computer_and_Software_Application_Operation_dem,object
Skill_Exchange,Network_Administration_and_IT_Support_dem,object
Skill_Exchange,Electronics_and_Robotics_dem,object
Skill_Exchange,Web_Design_and_Development_dem,object
Skill_Exchange,Data_Analysis_and_Visualization_dem,object
Skill_Exchange,Interpersonal_Communication_dem,object
Skill_Exchange,Conflict_Resolution_and_Mediation_dem,object
Skill_Exchange,Empathy_and_Emotional_Intelligence_dem,object
Skill_Exchange,Leadership_Skills_and_Teamwork_dem,object
Skill_Exchange,Networking_and_Relationship_Management_dem,object
Skill_Exchange,Cooking_and_Baking_dem,object
Skill_Exchange,Gardening_and_Farming_dem,object
Skill_Exchange,DIY_and_Repairs_dem,object
Skill_Exchange,Driving_and_Vehicle_Maintenance_dem,object
Skill_Exchange,First_Aid_and_Life_Saving_Techniques_dem,object
Skill_Exchange,Mathematics_and_Sciences_dem,object
Skill_Exchange,History_and_Social_Sciences_dem,object
Skill_Exchange,Literature_and_Philosophy_dem,object
Skill_Exchange,Research_Methods_and_Academic_Writing_dem,object
Skill_Exchange,Academic_Reading_and_Critique_dem,object
Skill_Exchange,Time_Management_and_Organization_dem,object
Skill_Exchange,Stress_Management_and_Mindfulness_dem,object
Skill_Exchange,Financial_Planning_and_Budgeting_dem,object
Skill_Exchange,Self_Defense_and_Personal_Safety_dem,object
Skill_Exchange,Healthcare_and_Nutrition_dem,object
Track_Record,Count_Skills_Rec,int64
Track_Record,Count_Skills_Off,int64
Track_Record,Rec_to_Off_Ratio,float64
Feedback,Usability,object
Feedback,Speed_Performance,object
Feedback,Feature_Satisfaction,object
Feedback,Security_Satisfaction,object
Feedback,Customer_Support,object
